id_direccion,calle,codigo_postal,provincia,pais,id_pais
73,Ronda de Luz Comas,30722,Albacete,San Marino,137
74,Paseo Darío Sanchez,05872,Navarra,Zambia,52
75,Camino de Ileana Cobos,13737,Melilla,Mauritania,31
76,Alameda de Sebastián Bauzà,17862,Burgos,Sudan,46
77,Cañada de Rodolfo Campoy,33518,Burgos,Serbia,138
78,Ronda Joaquín Viñas,44900,Castellón,Poland,134
79,Ronda Marco Tormo,33495,Lugo,Finland,114
80,Pasadizo de Leoncio Sans,18498,Madrid,Seychelles,41
81,Alameda Gala Baena,17730,Málaga,Suriname,193
82,Cañada de Sandalio Santos,47101,Ávila,Solomon Islands,180
83,Calle de María Manuela Rubio,37109,Cantabria,Poland,134
84,C. Aura Rico,34407,Castellón,Peru,192
85,Paseo José Antonio Carmona,16737,Guipúzcoa,Vietnam,98
86,Camino de Jose Miguel Mayo,30990,Tarragona,Ivory Coast,23
87,Via de Toño Saura,05773,Huesca,South Korea,73
88,Glorieta de Juan Pablo Bosch,29717,Albacete,Botswana,3
89,Urbanización de Belen Seco,47240,La Rioja,Madagascar,28
90,Glorieta de Ovidio Sáez,17590,Ciudad,Switzerland,143
91,Pasadizo de Jaime Seguí,12026,Badajoz,Panama,164
92,Vial de Benita Raya,16845,Palencia,Monaco,130
93,Camino de Paula Nogués,08406,Ceuta,Malaysia,78
94,Callejón Leoncio Rincón,24029,Santa Cruz de Tenerife,Vatican City,146
95,Cañada de Zaira Chamorro,06031,Navarra,Jamaica,161
96,Ronda de Leandro Azcona,41328,Málaga,Hong Kong,63
97,C. Chus Segura,21442,Almería,Central African Republic,8
98,Vial Claudio Barbero,23099,Guipúzcoa,Belize,150
99,Callejón Jacinto Vizcaíno,35414,Girona,Georgia,116
100,Pasaje de Paloma Caro,39748,Cantabria,Austria,103
101,Calle de Gerardo Fiol,48317,Granada,Belgium,106
102,Pasaje José Luis Julián,09566,Álava,Luxembourg,126
103,Urbanización Tania Gutierrez,33252,Cáceres,Tanzania,48
104,Ronda Jose Ignacio Canals,09104,Álava,Paraguay,191
105,Ronda de José María Giner,15389,La Rioja,United Kingdom,145
106,Pasadizo de Bernardino Pavón,16412,Segovia,Kazakhstan,71
107,Cuesta Ezequiel Salcedo,48393,Córdoba,Norway,133
108,Camino de Sofía Guerra,13726,Almería,Guinea,21
109,Paseo Dulce Lobato,47274,Baleares,Albania,100
110,Camino Timoteo Coloma,32929,Melilla,Luxembourg,126
111,Avenida Genoveva Ledesma,16925,Soria,San Marino,137
112,Alameda Juan Bautista Ferrándiz,14176,Córdoba,Ethiopia,17
113,Ronda de Enrique Vila,46220,La Coruña,Turkey,94
114,C. de Marcio Belda,23297,Castellón,Cambodia,60
115,Vial de Rosario Oliva,20392,Santa Cruz de Tenerife,Vanuatu,183
116,Cuesta Agapito Pagès,21654,Zamora,Guinea-Bissau,22
117,Calle de Ale Mateo,48959,Las Palmas,Kuwait,74
118,Acceso de Pastor Cervantes,16909,Cáceres,Congo,11
119,C. Raimundo Gilabert,15698,Las Palmas,Nicaragua,163
120,Avenida Claudia Osorio,27996,Navarra,Turkey,94
121,Camino María Madrid,46202,Guipúzcoa,Bahrain,55
122,Cañada Isidro Ocaña,26427,Albacete,Palau,177
123,Plaza de Lucas Palacios,02916,Toledo,United Arab Emirates,96
124,C. de Nélida Nebot,33989,Santa Cruz de Tenerife,Croatia,109
125,Paseo de Aurelio Velasco,39051,Navarra,Thailand,93
126,Acceso de Encarnita Avilés,08907,Córdoba,Mongolia,80
127,Pasadizo Danilo Llamas,47366,Pontevedra,Panama,164
128,Avenida de Zaira Saldaña,41530,Cuenca,Serbia,138
129,Avenida Ernesto Escobar,25812,Teruel,Belize,150
130,Glorieta de Román Luján,08413,Zamora,Rwanda,38
131,C. de Carlos Bernal,36098,Murcia,Trinidad and Tobago,168
132,Via de Narciso Uría,01786,Toledo,Comoros,10
133,Calle Rosa María Baena,43390,Guipúzcoa,Andorra,101
134,Rambla Leandro Prat,39866,Tarragona,Sao Tome and Principe,39
135,Urbanización de Cecilia Salom,02727,La Rioja,Qatar,85
136,Callejón de Ramona Ferrero,15479,Burgos,Bolivia,185
137,Cuesta Maxi Somoza,14272,Girona,Somalia,43
138,Plaza de Anabel Giralt,45064,Ourense,Haiti,159
139,Vial Juanito Castejón,19160,Córdoba,Ghana,20
140,Glorieta Humberto Duarte,18902,Cádiz,United States,169
141,Alameda de Clemente Ferrando,20157,Lugo,Liberia,26
142,Camino Vidal Aragonés,51578,Alicante,Afghanistan,54
143,Pasaje de María Manuela Carreño,18281,Ceuta,Albania,100
144,Cañada de Alexandra Porta,20113,Ourense,Tanzania,48
145,Paseo de Albino Cañellas,51106,Lleida,Malawi,29
146,Callejón de Felicidad Frías,33460,Almería,Saudi Arabia,87
147,Calle Natanael Herranz,21953,Zaragoza,Uzbekistan,97
148,Callejón de Gregorio Ponce,43890,Burgos,Kyrgyzstan,75
149,Pasadizo de Jorge Aguado,18348,Valladolid,Syria,90
150,Plaza de Victor Manuel Mariscal,37628,Sevilla,Libya,27
151,Cuesta Juan Manuel Garriga,24452,Zaragoza,Haiti,159
152,Pasaje Carolina Millán,23673,Ourense,Denmark,112
153,C. de Pía Blanes,03800,Ciudad,Sao Tome and Principe,39
154,Paseo de Mayte Martin,26130,Huelva,Saudi Arabia,87
155,Calle de Sol Padilla,40472,Huesca,Costa Rica,152
156,C. Eva María Carretero,45301,Granada,Burma (Myanmar),59
157,Camino Bernardita Borrell,02561,Melilla,India,64
158,Vial Evaristo Alcalá,42239,Albacete,Oman,82
159,Vial de Pascuala Dueñas,25891,Alicante,Oman,82
160,Vial Juan Luis Pérez,47024,Valencia,Cuba,153
161,Plaza de Belén Paredes,05150,Almería,Guyana,190
162,Vial de Enrique Malo,03701,Ourense,Cambodia,60
163,Callejón de Loida Ortega,27772,Tarragona,Colombia,188
164,Rambla Mirta Castañeda,19849,Soria,San Marino,137
165,Calle de Angelina Almazán,47029,Albacete,Lebanon,77
166,C. de Nilda Miralles,23833,Cantabria,Mauritius,32
167,Via de Gastón Piñeiro,35347,La Rioja,Laos,76
168,Calle de Angelino Catalá,14085,Pontevedra,Germany,117
169,C. Santos Ferrán,31786,Navarra,Moldova,129
170,Cuesta de Eladio Castañeda,47637,Pontevedra,Turkey,94
171,Via Melchor Valencia,50723,La Coruña,Romania,136
172,Pasadizo Marcelino Briones,50507,Cantabria,Taiwan,91
173,Glorieta de Lourdes Sáenz,46194,Córdoba,Madagascar,28
174,C. Sarita Verdugo,03233,Girona,Angola,1
175,Ronda de Plinio Pavón,22136,Ciudad,Liechtenstein,124
176,Urbanización de Lisandro Lobo,11232,Huelva,Norway,133
177,Cuesta Juanito Vidal,44944,Vizcaya,Brazil,186
178,Calle Luisa Buendía,22252,Castellón,Libya,27
179,Vial Noelia Bernat,30881,Huesca,Liberia,26
180,Ronda de Anastasia Pedrero,10874,Palencia,Hungary,119
181,Paseo Buenaventura Arnau,11418,Guipúzcoa,Uruguay,194
182,Via de Clemente Bosch,47091,Ciudad,San Marino,137
183,Pasadizo Ileana Carbonell,02440,Málaga,Sweden,142
184,Via de Candelario Zamora,39713,Soria,Dominica,154
185,C. Rubén Gisbert,45282,Badajoz,Namibia,35
186,Camino de Eutimio Lumbreras,25819,La Rioja,Laos,76
187,Ronda de Griselda Roca,32190,Navarra,Suriname,193
188,Urbanización de Cruz Jimenez,08908,Segovia,Afghanistan,54
189,Plaza Pío Aragón,45060,Navarra,Vatican City,146
190,Pasaje de Ileana Ferrando,09516,Santa Cruz de Tenerife,Liechtenstein,124
191,C. Priscila Sastre,36066,Palencia,Mozambique,34
192,Ronda de Aristides Colom,21268,Vizcaya,Serbia,138
193,Ronda de Febe Galvez,07552,Málaga,Moldova,129
194,Callejón de Wálter Alberdi,26332,La Rioja,Papua New Guinea,178
195,Glorieta de Paloma Portero,20071,Ourense,Gambia,19
196,Callejón Berta Revilla,50441,Vizcaya,Estonia,113
197,Pasaje Manola Espinosa,28231,Guadalajara,Tunisia,50
198,Calle Teobaldo Rosselló,45505,Ceuta,Nauru,175
199,C. Carla Morell,27017,Soria,Belgium,106
200,Avenida Lorenzo Ródenas,15782,Álava,Kenya,24
201,Paseo de Rosario Gallo,07811,León,Solomon Islands,180
202,Cañada de Calixto Sánchez,18794,Salamanca,Trinidad and Tobago,168
203,Via de Bernardita Pou,24726,Lugo,Ivory Coast,23
204,Camino Loreto Falcó,11635,Castellón,Luxembourg,126
205,Urbanización de Édgar Noriega,12286,Badajoz,Mongolia,80
206,Paseo de Sabas Casanova,23174,Badajoz,Latvia,123
207,Alameda Tadeo Angulo,02762,Sevilla,East Timor,62
208,Plaza Sandra Agustín,02026,Vizcaya,Suriname,193
209,Glorieta Carmela Peralta,42567,Teruel,Qatar,85
210,Ronda Calista Pastor,10467,Vizcaya,Bosnia and Herzegovina,107
211,Via Octavio Urrutia,38825,Zaragoza,Pakistan,83
212,Urbanización Curro Taboada,33158,Guipúzcoa,Central African Republic,8
213,Via de Modesta Pedraza,39758,Soria,Malta,128
214,C. Donato Rocamora,10085,Cáceres,Seychelles,41
215,Ronda de Nuria Mayo,42081,Pontevedra,Kazakhstan,71
216,Alameda de Cecilio Valero,38162,Soria,Botswana,3
217,C. Marisela Ros,18474,Badajoz,Guinea-Bissau,22
218,Pasaje Graciana Vigil,23336,Valladolid,Iraq,67
219,Via Rodolfo Blázquez,21938,Zamora,Swaziland,47
220,Via Aura Aranda,24352,La Rioja,Libya,27
221,Glorieta Gabriel Ortiz,41797,Baleares,New Zealand,176
222,Pasaje Valerio Pozo,41227,Lleida,Bahrain,55
223,Ronda de Bienvenida Amo,31646,Cáceres,Saudi Arabia,87
224,Plaza de Aníbal Luján,47049,Salamanca,Djibouti,13
225,Pasadizo de Encarnación Cuervo,22835,Madrid,Netherlands,132
226,Urbanización Brunilda Millán,33773,Guipúzcoa,Monaco,130
227,C. de Ana Sofía Valencia,28226,Cantabria,Samoa,179
228,Avenida de Sandra Prieto,04049,La Rioja,Democratic Republic of Congo,12
229,Urbanización Ruben Castrillo,16085,Valencia,Japan,69
230,Urbanización Felix Puerta,49513,Valladolid,Grenada,157
231,Rambla Juan Bautista Cáceres,23955,Teruel,Kenya,24
232,Calle de Pacífica Cánovas,22803,Ceuta,United Arab Emirates,96
233,Via Melisa Anglada,34242,Badajoz,Panama,164
234,Avenida Carlos Toledo,11809,Albacete,Canada,151
235,Camino Bernabé Colomer,33046,Lugo,Togo,49
236,C. Lourdes Verdú,22844,Asturias,South Korea,73
237,Cañada Maristela Mayoral,43373,Almería,Burma (Myanmar),59
238,Urbanización de Rufina Santamaría,43451,Salamanca,Iceland,120
239,Vial de Lope Hierro,06359,Jaén,Grenada,157
240,Urbanización de Oriana Meléndez,08456,Girona,Papua New Guinea,178
241,Cuesta de Ester Martorell,22783,Madrid,Guinea-Bissau,22
242,Cañada de Vilma Avilés,25756,Asturias,Costa Rica,152
243,Vial Claudio Belda,50874,Ciudad,Gambia,19
244,Avenida Jenny Pol,44647,Santa Cruz de Tenerife,Pakistan,83
245,Vial de Begoña Ávila,13463,Zamora,Zimbabwe,53
246,Ronda Tamara Villar,27778,Teruel,Belarus,105
247,Cañada Felicidad Sarmiento,10824,Huesca,Mali,30
248,Avenida de Gema Ureña,31782,Cuenca,Bulgaria,108
249,Acceso de Baldomero Soto,03482,Tarragona,Australia,170
250,Cuesta de Rodolfo Rocha,37873,Badajoz,Togo,49
251,Plaza Clotilde Valverde,46867,Valencia,India,64
252,Plaza de Pascuala Solsona,24382,Segovia,Liechtenstein,124
253,Pasadizo Federico Lluch,09586,Baleares,Bosnia and Herzegovina,107
254,Cuesta Eulalia Becerra,07766,Granada,Papua New Guinea,178
255,Pasaje Aristides Bonet,46840,Lugo,Djibouti,13
256,Alameda Damián Sanz,42037,La Coruña,Croatia,109
257,Avenida de Encarnita Peña,44568,Castellón,Mozambique,34
258,Cuesta Encarnacion Elorza,30009,Soria,Maldives,79
259,Glorieta Bárbara Noguera,23173,Lleida,Azerbaijan,104
260,Glorieta de María Pi,36737,Salamanca,Czechia,111
261,Plaza Loreto Zabala,34553,Alicante,Austria,103
262,Acceso Leire Ojeda,49226,Málaga,Croatia,109
263,Acceso de Ale Rozas,30054,La Rioja,Bulgaria,108
264,Pasadizo de Alexandra Puerta,02080,Ávila,North Korea,72
265,Pasadizo de Etelvina Falcó,06467,Las Palmas,United States,169
266,Camino Ibán Priego,03399,Toledo,Democratic Republic of Congo,12
267,Via Petrona Berenguer,43663,Almería,Eritrea,16
268,Glorieta Clemente Rivera,32504,Cádiz,Marshall Islands,173
269,Pasaje de Joan Carrera,33264,Lleida,Argentina,184
270,Callejón Amada Rivero,21997,Cáceres,France,115
271,Acceso de Lucho Marqués,17510,León,Nicaragua,163
272,Cuesta de Marita Esteban,42213,Asturias,Germany,117
273,Rambla Severo Lasa,03073,Zamora,Chad,9
274,Pasadizo de Evaristo Gonzalo,45931,Burgos,Mozambique,34
275,Vial Tamara Vilaplana,28946,Guipúzcoa,Nauru,175
276,Vial Nilo Jáuregui,49791,Cantabria,Andorra,101
277,Plaza de Aurelia Moreno,39122,Salamanca,Bolivia,185
278,Plaza de Pascual Mosquera,06280,Ciudad,Thailand,93
279,Vial de Nacho Gaya,43292,Navarra,Guinea,21
280,Pasaje de Benito Gallart,49965,Girona,Ethiopia,17
281,Ronda Marita Andrade,15129,Ceuta,Austria,103
282,Calle de Benjamín Enríquez,31873,Melilla,Bahrain,55
283,Callejón de Belén Núñez,10605,Zaragoza,Vanuatu,183
284,Callejón Olga Ribas,36344,Tarragona,Sri Lanka,89
285,Callejón Gabino Villalba,27081,Toledo,Colombia,188
286,Pasadizo Baltasar Isern,02797,Alicante,Qatar,85
287,Ronda de Juliana Maza,45412,Segovia,Maldives,79
288,Rambla de José Luis Vilar,01872,Segovia,Uzbekistan,97
289,Via Raúl Guzman,51733,Girona,Kazakhstan,71
290,Camino de Héctor Barberá,51794,Almería,Sri Lanka,89
291,Avenida de Modesta Cánovas,15865,Asturias,Vietnam,98
292,Avenida Samuel Valera,43491,Toledo,Senegal,40
293,Paseo de Agapito Escobar,31273,Santa Cruz de Tenerife,Tajikistan,92
294,Pasaje Úrsula Bonet,30531,Barcelona,Barbados,149
295,Rambla Espiridión Porras,16044,Lugo,Grenada,157
296,Cuesta Isabela Borja,02233,Ceuta,Antigua and Barbuda,147
297,Acceso de Alexandra Nuñez,10435,Albacete,Monaco,130
298,Via de Amando Marcos,40691,Jaén,Botswana,3
299,Cañada Wálter Agustín,41156,Ávila,Ghana,20
300,Via Evaristo Serna,22201,Pontevedra,Yemen,99
301,Paseo Samanta Arjona,22924,Burgos,Papua New Guinea,178
302,Ronda Jose Ramón Huguet,05596,La Coruña,Germany,117
303,Pasadizo de Roque Bonilla,06935,Huelva,Mongolia,80
304,Cuesta de Arcelia Olmedo,46073,La Rioja,Suriname,193
305,Vial de Nacho Iglesia,07768,Teruel,Romania,136
306,Cuesta Cecilio Moles,51955,Segovia,Jordan,70
307,Acceso Damián Ibarra,12790,León,Canada,151
308,C. Vidal Fonseca,02516,Madrid,South Sudan,45
309,Calle Adolfo Baños,05511,Zamora,Suriname,193
310,Via de Amancio Baeza,30530,Cantabria,Panama,164
311,Rambla de Eligio Merino,26288,Guadalajara,Cyprus,110
312,Callejón Pastor Bustos,42562,Murcia,Serbia,138
313,Avenida de Alfonso Aguilera,37703,Córdoba,Barbados,149
314,Via de Dafne Lladó,48746,Burgos,Cuba,153
315,C. de Porfirio Valderrama,11084,Ceuta,East Timor,62
316,Acceso Maxi Calatayud,20940,La Rioja,Vatican City,146
317,Acceso Merche Vega,42773,Navarra,Bosnia and Herzegovina,107
318,Acceso Maximino Calderón,31240,Vizcaya,Uzbekistan,97
319,Rambla de Fausto Navarrete,19912,Baleares,Peru,192
320,Via de Nicolás Bou,05019,Castellón,Pakistan,83
321,Cuesta de Macario Llano,24025,Cuenca,Slovenia,140
322,Ronda Chema Santana,41151,Almería,India,64
323,Via Gerardo Quintana,48796,Barcelona,Mexico,162
324,Rambla de Jennifer Céspedes,30562,Murcia,Jamaica,161
325,Camino de Mercedes Salvà,09104,Valladolid,United States,169
326,Pasadizo de Ámbar Moles,02296,Alicante,Honduras,160
327,Vial Paz Rojas,05524,Ávila,Comoros,10
328,Pasadizo Nicolás Gargallo,04131,Asturias,Benin,2
329,Callejón Rubén Sotelo,02780,Cantabria,Equatorial Guinea,15
330,Glorieta Virginia Agustín,49157,Valladolid,Ghana,20
331,Camino de Azeneth Verdú,50421,Ávila,Sudan,46
332,Acceso de Lilia Núñez,07447,Albacete,Luxembourg,126
333,Camino Apolonia Gallego,49849,Huelva,Zambia,52
334,Urbanización Ruperta Salazar,47142,Girona,Tanzania,48
335,Camino Ale Pi,50976,Cáceres,Nicaragua,163
336,Calle de Herberto Fajardo,43963,León,Gambia,19
337,Glorieta de Mariana Tudela,15522,Huesca,Ukraine,144
338,Camino de Cándida Pineda,07604,La Coruña,Trinidad and Tobago,168
339,Ronda de Paloma Grau,49715,Badajoz,Benin,2
340,Plaza Loreto Soler,41546,Jaén,Bolivia,185
341,Ronda Lucía Leal,15759,Pontevedra,Senegal,40
342,Cañada de Pánfilo Figuerola,02444,Barcelona,Canada,151
343,Acceso Elba Arnaiz,27220,Huelva,Sri Lanka,89
344,Urbanización Lucila Soria,40271,Huelva,Brazil,186
345,Rambla de Heraclio Samper,45875,Cuenca,Canada,151
346,Alameda Daniela Fernández,33222,Las Palmas,Egypt,14
347,C. Ale Flor,15066,Sevilla,Belgium,106
348,Plaza Wilfredo Amaya,05249,Huelva,Cameroon,6
349,Paseo Isabela Almazán,51950,Jaén,Oman,82
350,Rambla Vinicio Barberá,06412,Zaragoza,Uganda,51
351,Calle de Rosalía Sevillano,44977,Soria,Ivory Coast,23
352,Acceso Juan Ortiz,40526,Guadalajara,Turkmenistan,95
353,Urbanización Aurelio Bauzà,42068,Cantabria,Russia,86
354,Via Jerónimo Nadal,23268,Jaén,India,64
355,Urbanización de Amando Jaén,05327,Cádiz,Chad,9
356,Camino Eugenio Montenegro,37207,Baleares,Sudan,46
357,Pasadizo Flavia Matas,28944,Ciudad,United Arab Emirates,96
358,Rambla Seve Valentín,38765,Huelva,Jordan,70
359,Ronda Tito Zamora,30367,Álava,Guatemala,158
360,Pasaje de Alcides Lasa,24325,Asturias,Japan,69
361,Ronda de Narcisa Tamarit,23318,Melilla,Venezuela,195
362,Alameda Efraín Tejera,23666,Madrid,Central African Republic,8
363,Acceso de Severo Sebastián,11731,Ávila,Solomon Islands,180
364,Via de Cintia Ortuño,25641,Teruel,Ecuador,189
365,Callejón de Ramona Cobo,05715,Huelva,Monaco,130
366,Rambla Clotilde Molins,34198,La Rioja,Afghanistan,54
367,Via de Lidia Campos,47944,Albacete,Guatemala,158
368,Via Clímaco Rios,01966,Zamora,Zimbabwe,53
369,Plaza Consuelo Palau,40446,Pontevedra,Zambia,52
370,Urbanización de Isaías Casanova,14278,Teruel,Ghana,20
371,Rambla de Purificación Calderón,46390,Tarragona,Italy,122
372,Plaza Candelas Bastida,44690,Madrid,Belarus,105
373,Cuesta de Emigdio Figuerola,16019,Sevilla,Libya,27
374,Pasadizo Lidia Vazquez,36770,Ciudad,South Africa,44
375,Cuesta de Glauco Vilaplana,21668,Ourense,Saudi Arabia,87
376,Glorieta de Ileana Ribas,14048,Cuenca,Ukraine,144
377,Avenida de Ale Ortiz,34257,Zaragoza,Belgium,106
378,Pasadizo de Nieves Andreu,17825,Ourense,Maldives,79
379,Urbanización Luz Echevarría,07698,Vizcaya,Eritrea,16
380,C. Carmen Alfaro,06517,Almería,Nauru,175
381,Glorieta Sofía Bravo,08006,Valladolid,Armenia,102
382,Pasaje de Darío Escudero,45267,Tarragona,Indonesia,65
383,Plaza Javi Agustín,01038,Ciudad,Turkey,94
384,Calle Paco Vélez,51336,Granada,Chad,9
385,Calle de Nicodemo Casas,08520,Jaén,Saint Vincent and the Grenadines,167
386,Callejón Nadia Coll,11917,Zamora,Grenada,157
387,Paseo de Osvaldo Donoso,23246,Barcelona,Argentina,184
388,Paseo de Nuria Vazquez,18195,Ciudad,Yemen,99
389,C. Luis Parra,34932,Guipúzcoa,Belgium,106
390,Callejón de Geraldo Salazar,29634,Huesca,United Kingdom,145
391,Cañada Maximiano Solsona,47247,Pontevedra,Indonesia,65
392,Calle Elodia Arribas,51363,Santa Cruz de Tenerife,Turkmenistan,95
393,Alameda Carolina Ortiz,08027,Navarra,Nauru,175
394,Alameda de Bienvenida Mayo,13782,Ourense,San Marino,137
395,Callejón Inés Hoz,34912,La Coruña,Monaco,130
396,Vial Borja Palacios,15364,Badajoz,Vietnam,98
397,Cañada de Sabina Sobrino,12259,Pontevedra,Kazakhstan,71
398,Paseo de Visitación Pino,04773,Ciudad,Dominica,154
399,C. Luciana Gibert,34295,Granada,Marshall Islands,173
400,Via Tristán Hoyos,20195,Vizcaya,Tunisia,50
401,Acceso Jose Antonio Peña,13060,Cádiz,Bangladesh,56
402,Urbanización de Visitación Suárez,12985,Navarra,Azerbaijan,104
403,Urbanización de Hernando Baños,07676,Soria,Niger,36
404,Cañada Visitación Andreu,10098,Ciudad,Thailand,93
405,Pasaje Lorenza Rosa,43135,Lugo,Niger,36
406,Plaza de Domingo Saavedra,42241,Ceuta,Maldives,79
407,Calle de Toño Arteaga,11184,Asturias,Monaco,130
408,Via de Cristina Marti,25894,Granada,Portugal,135
409,Vial Epifanio Pi,03470,Jaén,Latvia,123
410,Urbanización Amado Feliu,20650,Castellón,Ukraine,144
411,Camino de Porfirio Bastida,26750,Valencia,Albania,100
412,Pasaje Ernesto Villegas,32271,Las Palmas,Burundi,5
413,Via Eusebia Donaire,26336,León,Dominican Republic,155
414,Calle de Paola Borrás,02844,Girona,Seychelles,41
415,Glorieta de Emiliano Cardona,38363,Albacete,Luxembourg,126
416,Cañada Toribio Murcia,30232,Zamora,Malaysia,78
417,Acceso Evangelina Uría,03702,Ciudad,Sudan,46
418,Acceso Ciriaco Arellano,35650,Burgos,Azerbaijan,104
419,Pasaje de Elpidio Reina,48819,Girona,Guatemala,158
420,Cañada de Maite Polo,25337,Soria,Russia,86
421,Rambla Bienvenida Díez,39519,Navarra,Cameroon,6
422,Camino Goyo Torrens,22033,Asturias,El Salvador,156
423,Glorieta Victoria Girón,21740,Albacete,Belize,150
424,Ronda Ibán Bermejo,38890,Vizcaya,Australia,170
425,Callejón de Olegario Jiménez,48270,Castellón,Kyrgyzstan,75
426,Pasaje Guillermo Rodríguez,43178,Cuenca,Iceland,120
427,Glorieta Florentina Franco,30655,Valladolid,Uganda,51
428,Cuesta Luis Miguel Almeida,23266,Pontevedra,Saint Kitts and Nevis,165
429,Vial de Inés Figueroa,32705,Ciudad,Macedonia,127
430,Vial de Emiliano Pera,09241,Burgos,Brazil,186
431,Rambla de Mireia Oliver,01386,Palencia,Iran,66
432,Plaza Víctor Torre,40648,Asturias,Hong Kong,63
433,Callejón de Amado Oliveras,10876,Guadalajara,North Korea,72
434,Plaza de Nando Boada,08345,Madrid,Indonesia,65
