id_institucion,nombre_institucion,id_director,id_direccion
69,Familia Fiol S.L.,669,655
70,Hnos Aguirre S.A.,792,564
71,Compañía AWFF S.A.,860,991
72,Servicios Ibañez & Asociados S.Com.,473,405
73,Servicios Maestre y asociados S.Coop.,489,58
74,Tecnologías Moreno y asociados S.L.L.,568,777
75,Soluciones Lorenzo S.Coop.,812,317
76,Infraestructuras Iberia S.L.,115,201
77,Manufacturas Barrio & Asociados S.L.,363,700
78,Giménez & Asociados S.A.,885,955
79,Grupo Bayón S.A.T.,916,167
80,Infraestructuras OTWH S.C.P,793,135
81,Farmaceútica Quesada & Asociados S.L.N.E,204,574
82,Nicodemo Pellicer Vallés S.Com.,684,27
83,Valera y Orozco S.A.,710,670
84,Collado y Seco S.Coop.,775,557
85,Edgardo Vargas Calzada S.L.,60,727
86,Hotel Valencia & Asociados S.Coop.,551,845
87,Fábrica UX S.L.U.,847,137
88,Elpidio Sabater Hoz S.Coop.,787,120
89,Supermercados Globales S.A.,511,935
90,Grupo Dávila S.Coop.,541,234
91,Inmobiliaria Martínez y asociados S.L.N.E,63,881
92,Barros y Prada S.L.,978,689
93,Construcción Internacionales S.L.N.E,927,717
94,Grupo Seco S.A.T.,135,527
95,Familia Frías S.A.,461,385
96,Llorens y Ortiz S.Com.,902,222
97,Grupo Sierra S.L.N.E,497,718
98,Suministros Páez y asociados S.L.,136,146
99,Soluciones Avanzadas S.L.N.E,293,744
100,Hnos Prat S.L.,393,345
101,Logística Ferrero S.L.L.,110,476
102,Restauración URXH S.Com.,73,283
103,Compañía Uribe S.L.N.E,183,53
104,Silvia Tejera Bueno S.A.,736,597
105,Figueroa y asociados S.A.,579,28
106,Industrias Ferrández S.L.,17,659
107,Guerrero y asociados S.Coop.,584,130
108,Barreda y Colomer S.A.,776,620
109,Minería Española S.A.,466,545
110,Compañía YVE S.L.U.,726,178
111,Grupo Soria S.A.,285,368
112,Yuste y Echeverría S.Coop.,529,459
113,Talleres Avanzadas S.Coop.,884,582
114,Suministros Jove S.A.,774,397
115,Primitiva Olivares Arcos S.Com.,258,619
116,Comercial Mosquera S.Com.,811,106
117,Restauración Toledo S.A.,772,622
118,Construcción Mendizábal S.A.,621,10
119,Instalaciones Anaya S.A.,119,216
120,Vélez y Gonzalo S.A.,203,598
121,Finanzas Calvet S.Com.,335,647
122,Comercial Jordán S.A.,506,482
123,Suministros UL S.A.T.,177,410
124,Esteban y Román S.A.,806,669
125,Carpio y Beltran S.L.,131,818
126,Castejón & Asociados S.L.U.,755,801
127,Cuadrado y Busquets S.Coop.,159,423
128,Blanco & Asociados S.L.L.,218,816
129,Banca Privada Vilaplana S.L.,637,533
130,Minería Marín y asociados S.L.N.E,549,357
131,Planas & Asociados S.L.,94,879
132,Instalaciones Integrales S.Coop.,490,708
133,Graciela Canals Gallo S.A.,581,915
134,Comercializadora KD S.A.,521,580
135,Distribuciones Elorza y asociados S.L.,434,518
136,Grupo Vilaplana S.L.,241,486
137,Cobo y Falcó S.L.N.E,493,416
138,Servicios WT S.L.N.E,629,522
139,Fábrica Castellana S.L.,756,566
140,Talleres Tejera & Asociados S.L.,596,417
141,Banco Pazos y asociados S.Com.,399,681
142,Familia Frías S.A.,712,988
143,Hnos Plaza S.L.,467,680
144,Familia Rosell S.Com.,223,254
145,Servicios Criado S.A.,556,528
146,Flor Coca Palacio S.L.N.E,355,119
147,Inmobiliaria EG S.Com.,88,403
148,Abad y Bilbao S.L.N.E,161,538
149,Consultoría Amorós S.L.L.,58,679
150,Alimentación DKG S.L.N.E,829,261
151,Distribuciones Marco S.A.,415,95
152,Escrivá & Asociados S.Com.,972,589
153,Restauración Ibérica S.Com.,2,8
154,Desarrollo Salinas S.Coop.,366,300
155,Banca Privada Moreno S.L.,892,44
156,Lucena & Asociados S.L.N.E,133,855
157,Inversiones Avanzadas S.L.,106,115
158,Industrias Abascal S.Com.,259,496
159,Infraestructuras Paz S.Com.,560,189
160,Talleres KZG S.Com.,111,389
161,Grupo Cisneros S.L.,770,384
162,Cuevas & Asociados S.Com.,822,375
163,Logística WQXJ S.A.,632,484
164,Hnos Reina S.Coop.,903,775
165,Valentina Cabrera Mariscal S.A.,844,561
166,Despacho Aznar S.Coop.,448,939
167,Anabel Baquero Morante S.L.,206,706
168,Consultoría Lillo & Asociados S.Com.,504,462
169,Manufacturas JMQL S.L.,994,76
170,Figueroa y asociados S.Coop.,409,240
171,Familia Llopis S.C.P,107,697
172,Instalaciones Vara S.C.P,230,196
173,Talleres del Levante S.Com.,24,40
174,Izquierdo y Egea S.C.P,647,177
175,Infraestructuras Jáuregui y asociados S.Coop.,714,567
176,Manufacturas del Norte S.L.N.E,459,402
177,Milla y Coloma S.Coop.,623,239
178,Durán y Pozo S.Coop.,817,441
179,Mónica Lumbreras Marcos S.L.N.E,308,542
180,Supermercados NYGA S.L.L.,310,66
181,Comercializadora KBR S.Coop.,589,156
182,Instalaciones VMXC S.A.U,211,613
183,Macias & Asociados S.A.,46,0
184,Rosalina Martinez Llanos S.L.,658,795
185,Luís y asociados S.A.,408,720
186,Agudo y Reguera S.L.,41,102
187,Zurita y Santos S.L.U.,841,726
188,Minería Maza & Asociados S.C.P,414,609
189,Logística Piñeiro S.A.,299,799
190,Berenguer y asociados S.Com.,835,759
191,Mateo y Fábregas S.L.,570,649
192,Suministros del Mediterráneo S.Coop.,699,34
193,Priego & Asociados S.L.,509,828
194,Manufacturas Ibérica S.A.,762,757
195,Distribuciones Pastor S.Coop.,505,707
196,Gaya y Crespi S.L.,808,431
197,Inversiones Garcés & Asociados S.A.,383,742
198,Real y Escolano S.Com.,555,255
199,Guillermo Lasa Manzano S.L.N.E,281,269
200,Despacho RRZU S.A.,605,287
201,Ferrán y asociados S.A.U,642,932
202,Desarrollo del Noroeste S.A.,27,16
203,Transportes EMO S.L.,591,29
204,Grupo Córdoba S.L.,284,976
205,Minería Cobo & Asociados S.L.N.E,576,190
206,Hermanos Anglada S.L.N.E,800,887
207,Talleres Corbacho S.L.,832,904
208,Cintia Camacho Montenegro S.A.,481,89
209,Alimentación Sobrino S.Com.,985,334
210,Abigaíl Iglesias Uribe S.L.,574,426
211,Lluch y Martinez S.A.T.,996,45
212,Soluciones Folch & Asociados S.Coop.,356,869
213,Familia Nuñez S.A.,783,208
214,Industrias NO S.L.,930,994
215,Instalaciones Inteligentes S.Coop.,432,765
216,Grupo Puerta S.A.,980,790
217,Familia Roldán S.Com.,92,498
218,Fábrica QCWC S.A.,662,180
219,Hotel KYPS S.A.,76,244
220,Construcción Prada & Asociados S.L.,533,844
221,Alemany y Mancebo S.A.U,74,303
222,Logística Canet S.A.,878,419
223,Soluciones del Noroeste S.Com.,701,264
224,Gabriela Sainz Soriano S.Com.,966,125
225,Eliseo Gallardo Rivero S.Coop.,660,957
226,Grupo Piña S.Com.,958,495
227,Priego y Garmendia S.A.,928,834
228,Despacho Ibéricos S.L.N.E,563,378
229,Promociones Cal & Asociados S.Com.,446,637
230,Calderon & Asociados S.L.,538,992
231,Hnos Ochoa S.L.N.E,753,868
232,Construcción VPEF S.Com.,202,322
233,Compañía Alarcón y asociados S.Com.,948,233
234,Sáez & Asociados S.C.P,96,841
235,Alvarado y Torrent S.Coop.,121,558
236,Suministros Chaparro & Asociados S.Com.,897,316
237,Infraestructuras Jordá y asociados S.L.N.E,938,983
238,Hervás & Asociados S.L.N.E,179,682
239,Compañía Alcántara S.C.P,247,733
240,Banco Ferrero & Asociados S.L.N.E,492,509
241,Apolonia Arteaga Bernad S.A.,116,987
242,Grupo Mulet S.A.,950,986
243,Erasmo Aragón Gimenez S.A.,528,872
244,Instalaciones Prada S.L.L.,36,111
245,Banca Privada Goñi y asociados S.A.,675,630
246,Fábrica Pino S.L.N.E,170,351
247,Restauración Arranz & Asociados S.L.,100,642
248,Gibert y asociados S.A.,233,289
249,Desarrollo Cano y asociados S.L.N.E,692,979
250,Construcción Internacionales S.L.N.E,427,221
251,Banco Arjona y asociados S.L.,543,858
252,Andreu & Asociados S.A.,693,366
253,Jovita Barco Viñas S.L.N.E,433,586
254,Grupo Rosselló S.Coop.,786,51
255,Alimentación OB S.A.,593,248
256,Serafina Bejarano Tejada S.L.,577,433
257,Banco Arenas & Asociados S.Coop.,80,514
258,Manufacturas Avanzadas S.A.,518,182
259,Páez y Gallart S.L.,906,763
260,Inversiones Ibéricos S.L.L.,740,629
261,Farmaceútica Barba y asociados S.Coop.,274,85
262,Hermanos Saez S.Com.,619,191
263,Banco del Norte S.Coop.,229,563
264,Gaspar Puente Pastor S.A.D,514,339
265,Inmobiliaria Ibéricos S.L.U.,430,694
266,Comercial del Levante S.L.N.E,907,525
267,María Jesús Pelayo Malo S.A.,435,735
268,Gertrudis Julián Noriega S.Com.,547,362
269,Amaya & Asociados S.L.,758,343
270,Familia Villalobos S.L.N.E,12,163
271,Blasco y Arco S.A.,460,738
272,Inversiones Ibérica S.L.L.,704,661
273,Hotel Internacionales S.L.,617,121
274,Alimentación Arévalo & Asociados S.L.L.,303,344
275,Familia Pomares S.Coop.,532,379
276,Morcillo y asociados S.Coop.,517,748
277,Distribuciones RFX S.L.,85,154
278,Compañía Pomares S.Coop.,397,519
279,Transportes Palacios S.Coop.,232,282
280,Construcción Egea S.Coop.,69,335
281,Hnos Ocaña S.L.N.E,353,531
282,Octavia Velasco Coronado S.A.,687,464
283,López & Asociados S.Com.,329,298
284,Sandoval y asociados S.L.,30,583
285,Hnos Camacho S.A.T.,651,463
286,Castro & Asociados S.Coop.,856,520
287,Soluciones Castell S.Coop.,809,758
288,Minería Duque S.Com.,315,535
289,Distribuciones del Levante S.Coop.,565,969
290,Industrias Castilla & Asociados S.Coop.,250,84
291,Fábrica SJWR S.A.,217,206
292,Compañía Galan S.A.,437,232
293,Compañía Españolas S.Com.,112,268
294,Grupo Gimenez S.A.,166,338
295,Tur y Tena S.L.N.E,54,984
296,Distribuciones LK S.A.D,71,920
297,Construcción Internacionales S.Coop.,802,143
298,Carrillo y Sainz S.Coop.,789,703
299,Hermanos Lledó S.A.,886,320
300,Instalaciones WHMD S.Com.,895,866
301,Instalaciones Cerdá & Asociados S.L.L.,763,202
302,Banco Rubio y asociados S.Coop.,867,595
303,Grupo Aznar S.A.,418,572
304,Familia Vilaplana S.Com.,290,352
305,Fábrica Ferrero & Asociados S.L.L.,984,243
306,Comercializadora Belmonte y asociados S.L.N.E,118,491
307,Cabello & Asociados S.Coop.,186,639
308,Paulina Cornejo Hidalgo S.A.,395,309
309,Batlle y Maza S.C.P,731,107
310,Hotel Española S.C.P,922,94
311,Construcción Iberia S.Com.,644,236
312,Familia Tello S.A.,16,504
313,Paz y asociados S.A.D,757,963
314,Familia Alvarez S.L.N.E,796,591
315,Instalaciones Pedrero & Asociados S.Com.,971,480
316,Boix y Rojas S.L.,84,97
317,Servicios Española S.Coop.,519,701
318,Compañía Avanzadas S.A.,735,734
319,Ortuño & Asociados S.A.,859,394
320,Arellano y asociados S.A.D,373,653
321,Calvet y asociados S.A.,449,411
322,Hermanos Guitart S.Com.,603,308
323,Esteban & Asociados S.L.,983,521
324,Molins y Ángel S.Coop.,368,502
325,Alimentación Ibérica S.Com.,652,179
326,Hnos Gonzalo S.C.P,422,547
327,Hnos Villalonga S.Coop.,713,876
328,Sevilla y Miró S.A.U,766,739
329,Cordero y Echevarría S.Coop.,946,96
330,Lupe Salmerón Catalán S.Coop.,512,446
331,Apolinar Azorin Terrón S.L.U.,944,952
332,Victor Vicens Nieto S.L.L.,61,228
333,Hotel Quero & Asociados S.L.N.E,750,892
334,Promociones Españolas S.A.,562,313
335,Despacho Integrales S.C.P,696,327
336,Sierra y Huguet S.L.N.E,47,962
337,Fernández & Asociados S.A.,639,640
338,Instalaciones Avanzadas S.A.U,765,61
339,Servicios XMWB S.Com.,803,603
340,Cáceres y asociados S.L.N.E,664,704
341,Despacho QVH S.C.P,438,43
342,Inmobiliaria EH S.Coop.,193,929
343,Comercial Ibérica S.L.L.,923,631
344,Logística Inteligentes S.A.,594,158
345,Rios & Asociados S.L.U.,44,898
346,Borja y Moreno S.A.,172,329
347,Rosselló y Piñol S.Coop.,993,806
348,Comercial Pallarès y asociados S.C.P,583,165
349,Despacho Avanzadas S.Coop.,14,560
350,Inmobiliaria Quevedo y asociados S.L.,428,596
351,Inmobiliaria Portillo S.L.L.,184,808
352,Manufacturas Integrales S.L.L.,501,815
353,Durán & Asociados S.L.L.,42,643
354,Familia Sáenz S.A.,869,917
355,Comercializadora Castilla & Asociados S.A.,209,132
356,Teruel & Asociados S.Com.,520,436
357,Inversiones Iberia S.L.N.E,400,796
358,Distribuciones Iberia S.L.,311,103
359,Riquelme y Dávila S.Com.,199,677
360,Desarrollo Vilalta & Asociados S.A.U,990,664
361,Banca Privada Duran S.L.N.E,43,292
362,Maite Roura Gelabert S.Coop.,130,901
363,Millán y asociados S.L.,634,74
364,Farmaceútica Españolas S.A.,720,702
365,Soluciones Barroso y asociados S.A.,695,188
366,Familia Arenas S.L.N.E,610,874
367,Jove & Asociados S.A.,739,161
368,Finanzas Ibéricos S.C.P,697,607
369,Soluciones Sánchez S.Coop.,526,499
370,Macaria Salgado Espada S.Com.,707,438
371,Leire Mena Alcalde S.A.,173,683
372,Grupo Perelló S.A.,26,628
373,Graciela Llorens Armengol S.Com.,318,966
374,Farmaceútica Iglesia & Asociados S.L.,552,353
375,Hermanos Giralt S.Coop.,70,493
376,Farmaceútica Menéndez y asociados S.L.,108,995
377,Arnal y asociados S.L.,52,437
378,Hnos Sabater S.L.L.,79,550
379,Tecnologías Vilalta y asociados S.A.,507,729
380,Consultoría Avanzadas S.A.,379,676
381,Desarrollo Escribano & Asociados S.A.,609,371
382,Familia Uriarte S.Coop.,567,665
383,Grupo Rueda S.L.L.,624,381
384,Hermanos Espada S.Coop.,181,685
385,Grupo Sobrino S.A.,98,938
386,Restauración Azorin y asociados S.Com.,780,373
387,Familia Montero S.L.L.,326,363
388,Comercializadora Casas y asociados S.Com.,962,532
389,Infraestructuras Santos y asociados S.Coop.,101,754
390,Restauración GVA S.L.L.,534,99
391,Inversiones Villegas S.L.,963,859
392,Almazán y Lozano S.A.T.,876,273
393,Poncio Espada Rueda S.Coop.,162,982
394,Inmobiliaria Domínguez S.Com.,649,632
395,Carlota Paredes Suarez S.Coop.,926,786
396,Banca Privada NBR S.Com.,741,993
397,Hnos Belmonte S.Coop.,452,454
398,Múgica y asociados S.Com.,554,312
399,Noelia Múgica Calderón S.L.L.,836,6
400,Banco Llorens S.L.N.E,447,105
401,Inmobiliaria Manso S.Com.,34,667
402,Juan José Pinedo Tejedor S.Coop.,146,856
403,Desarrollo Salamanca S.Coop.,197,315
404,Izquierdo y asociados S.A.,683,409
405,Finanzas Villaverde y asociados S.Coop.,367,14
406,Carballo y Almazán S.Com.,482,367
407,Instalaciones Feliu y asociados S.L.N.E,866,831
408,Comercial Blanes y asociados S.A.,957,842
409,Luis Bolaños Campos S.Com.,676,281
410,Inmobiliaria Internacionales S.A.,171,218
411,Arévalo y Valle S.L.N.E,824,747
412,Hermanos Trujillo S.Coop.,998,981
413,Logística Villegas S.L.N.E,536,347
414,Cristóbal Agustí Pazos S.Coop.,646,931
415,Construcción Españolas S.A.,254,173
416,Hnos Delgado S.A.T.,523,656
417,Restauración QTA S.Com.,337,127
418,Farmaceútica Mayo S.C.P,630,918
419,Suministros Avanzadas S.C.P,705,625
420,Familia Gascón S.A.,863,696
421,Consultoría Antúnez S.Coop.,282,205
422,Salinas & Asociados S.L.N.E,725,909
423,Logística del Mediterráneo S.Coop.,781,336
424,Núñez & Asociados S.Com.,981,924
425,Rosell & Asociados S.Coop.,845,285
426,Llanos y asociados S.L.,178,562
427,Estévez y Fortuny S.L.L.,828,899
428,Ana Macías Guijarro S.L.N.E,826,864
429,Ariel Montoya Beltrán S.Com.,470,794
430,Nacho Amo Robledo S.A.T.,901,789
431,Tecnologías del Levante S.C.P,298,871
432,Company y Vives S.A.,256,846
433,Banco KIH S.L.,666,461
434,Supermercados Velázquez & Asociados S.A.,48,615
435,Inmobiliaria Ibérica S.L.L.,862,553
436,Servicios del Mediterráneo S.C.P,890,749
437,Minería Valderrama y asociados S.A.,661,231
438,Grupo Roda S.A.,857,559
439,Huertas y Bou S.Coop.,814,530
440,Hermanos Manzano S.A.,453,964
441,Coca y Barroso S.L.L.,65,439
442,Hernandez y Almagro S.L.U.,943,751
443,Hermanos Español S.L.,307,875
444,Fuster y asociados S.Com.,913,710
445,Coronado y Ribes S.L.,717,112
446,Hermanos Figueras S.A.,771,785
447,Hermanos Galindo S.L.,407,199
448,Transportes RE S.Com.,882,241
449,Comercial RMVB S.C.P,464,354
450,Infraestructuras DZRT S.L.N.E,873,445
451,Marisol Coronado Perea S.L.L.,999,470
452,Luisa Meléndez Redondo S.A.,852,149
453,Castellanos y Pascual S.Coop.,237,996
454,Construcción Pineda & Asociados S.Coop.,831,594
455,Transportes Puerta S.L.L.,406,299
456,Hermanos Lucena S.Com.,689,695
457,Hnos Losada S.L.N.E,858,355
458,Cruz & Asociados S.Com.,910,59
459,Herminia Lillo Merino S.L.U.,868,960
460,Restauración Bou & Asociados S.L.,207,444
461,Aurelio Múgica Buendía S.L.L.,114,894
462,Cózar y Moliner S.A.,778,73
463,Inmobiliaria JTKT S.L.,569,450
464,Grupo Ramos S.L.,153,508
465,Comercial Española S.L.N.E,810,506
466,Plana y Bonilla S.A.,160,49
467,Restauración Plaza S.Com.,67,215
468,Soler y asociados S.Com.,887,466
469,Manufacturas Castellana S.L.,622,651
470,Rosario Gonzalo Jaén S.A.,975,634
471,Hotel Internacionales S.Coop.,791,861
472,Minería Manzano & Asociados S.L.L.,564,83
473,Construcción Ruano S.C.P,940,798
474,Catalá y Taboada S.L.,942,19
475,Construcción Iberia S.Coop.,127,601
476,Ramona Donaire Tirado S.Coop.,236,123
477,Promociones Mayoral y asociados S.Com.,49,781
478,Banco del Mediterráneo S.Com.,387,825
479,Fábrica RISL S.L.,877,928
480,Industrias Española S.A.,815,505
481,Hotel Durán y asociados S.A.U,625,213
482,Daniela Palomar Ordóñez S.Com.,924,862
483,Vicente y Pedrero S.L.N.E,679,479
484,Soluciones del Noroeste S.A.,68,838
485,Comercializadora Globales S.Coop.,167,788
486,Pina y Calvet S.A.,614,428
487,Ignacio Alemany Díez S.Com.,544,989
488,Servicios KS S.Coop.,417,276
489,Hermanos Pulido S.A.,292,977
490,Alimentación CH S.A.,322,279
491,Comercializadora Castellana S.A.,799,186
492,Familia Sánchez S.Coop.,960,810
493,Manufacturas MKV S.L.,196,599
494,Hermanos Mir S.Coop.,724,147
495,Tristán Egea Garay S.L.N.E,546,510
496,Inversiones del Mediterráneo S.C.P,314,192
497,Garrido & Asociados S.L.U.,269,265
498,Polo y asociados S.L.N.E,604,290
499,Rico Bautista Amigó S.A.U,392,284
500,Mohamed Querol Cárdenas S.A.T.,727,429
501,Barros & Asociados S.A.,33,209
502,Pacheco y Calatayud S.L.,287,421
503,Manufacturas RL S.L.L.,653,7
504,Acero y Amores S.Com.,854,297
505,Perea y Céspedes S.Com.,595,193
506,María Fernanda Ocaña Cifuentes S.Coop.,134,811
507,Coloma y Artigas S.L.N.E,524,382
508,Anaya y Sainz S.L.L.,295,551
509,Boix y Perea S.Com.,474,893
510,Poza y Herranz S.C.P,672,151
511,Talleres Globales S.A.,599,238
512,Francisco Chico Suárez S.A.,129,913
513,Comercial Goicoechea S.A.T.,359,361
514,Inmobiliaria del Mediterráneo S.Coop.,964,848
515,Manzano y Espejo S.L.,992,78
516,Cristina Amat Villalobos S.Coop.,280,390
517,Industrias Ibérica S.Com.,150,253
518,Farmaceútica Requena y asociados S.L.,500,185
519,Carrasco y Roldán S.A.,66,999
520,Murillo y asociados S.A.T.,144,175
521,Hermanos Sarabia S.Com.,97,456
522,Díez y Pelayo S.Coop.,477,627
523,Andreu & Asociados S.A.U,313,606
524,Transportes Internacionales S.L.,362,541
525,Instalaciones Iberia S.L.,601,15
526,Alimentación Duarte & Asociados S.Coop.,628,608
527,Compañía Montes y asociados S.L.,729,52
528,Leiva & Asociados S.Coop.,8,129
529,Hermanos Adán S.A.,346,398
530,Hermanos Giner S.L.,38,967
531,Familia Rivas S.L.,155,576
532,Consultoría Ródenas S.A.,265,81
533,Suministros Checa y asociados S.Coop.,849,400
534,Bárbara Peláez Calatayud S.A.D,917,325
535,Segura & Asociados S.Coop.,124,921
536,Restauración Belmonte y asociados S.L.L.,650,399
537,Darío Lago Alcántara S.L.L.,839,678
538,Banco del Noroeste S.L.U.,929,761
539,Bustos & Asociados S.A.,737,803
540,Inmobiliaria Rodriguez S.L.L.,294,889
541,Olivares y asociados S.L.N.E,388,614
542,Desarrollo IK S.Coop.,3,936
543,Martínez y Linares S.L.,55,374
544,Inversiones Castellanos y asociados S.Com.,785,539
545,Grupo Goicoechea S.A.,674,873
546,Compañía Palomar S.L.,102,686
547,Prat y Buendía S.A.U,25,291
548,Inversiones JOF S.A.,342,660
549,Hernando y Arellano S.L.L.,455,131
550,Alcaraz y Aller S.L.,612,624
551,Meléndez y Castro S.Coop.,191,251
552,Instalaciones Zurita S.A.D,77,46
553,Servicios Avanzadas S.Coop.,553,141
554,Silvio Prado Sabater S.L.,394,11
555,Barón y Páez S.A.,899,925
556,Mayol y Guerrero S.L.N.E,338,435
557,Talleres Vilar S.L.,502,903
558,Compañía RJX S.L.,351,159
559,Grupo Vilalta S.Com.,503,229
560,Sandra Blazquez Aliaga S.L.,979,138
561,Alonso y Donaire S.L.L.,788,778
562,Desarrollo Integrales S.A.,636,658
563,Peral & Asociados S.L.,607,546
564,Hnos Barranco S.Coop.,816,768
565,Distribuciones UIQM S.L.,900,80
566,Hotel JKR S.A.T.,850,770
567,Infraestructuras del Levante S.L.N.E,185,990
568,Fábrica CQO S.C.P,805,195
569,Maricruz Ariza Roma S.L.,90,549
570,Fiol y Oliver S.C.P,833,581
571,Fábrica Cantero S.Com.,853,492
572,Manufacturas YYEC S.A.,478,349
573,Morera y asociados S.Com.,801,174
574,Cristina Maldonado Dominguez S.Com.,288,256
575,Ruiz y Verdugo S.L.L.,764,654
576,Grupo Peralta S.A.,35,912
577,Distribuciones Española S.A.T.,680,888
578,Hnos Otero S.L.N.E,301,155
579,Catalá y Yuste S.Coop.,384,365
580,Distribuciones CWUZ S.C.P,64,980
581,Hermanos Pardo S.Com.,611,263
582,Promociones PWN S.A.,716,200
583,Grupo Rico S.L.N.E,291,890
584,Jáuregui & Asociados S.L.,21,176
585,Soluciones Folch y asociados S.Coop.,976,740
586,Conesa y Casanovas S.Coop.,423,358
587,Roda y asociados S.L.,686,408
588,Finanzas Haro S.Coop.,991,914
589,Nicolás Alsina Dávila S.A.,243,728
590,Manufacturas Baena & Asociados S.A.,865,471
591,Hnos Huerta S.A.T.,382,672
592,Baró & Asociados S.L.,348,650
593,Enríquez y asociados S.L.L.,949,91
594,Distribuciones LF S.L.,657,951
595,Banca Privada Española S.L.,961,157
596,Hermanos Gómez S.A.,997,575
597,Quero & Asociados S.Coop.,251,516
598,Hermanos Mariscal S.Com.,760,443
599,Leiva & Asociados S.L.N.E,530,252
600,Caballero y asociados S.Coop.,722,644
601,Familia Benavent S.C.P,870,865
602,Promociones Figuerola y asociados S.Coop.,618,724
603,Jimenez y Diaz S.Com.,718,947
604,Loida Trillo Madrigal S.L.,62,824
605,Martin Prieto Calzada S.Coop.,425,863
606,Supermercados Amo S.L.,339,616
607,Hotel RSF S.Coop.,370,886
608,Tecnologías Amat & Asociados S.Coop.,151,247
609,Hermanos Fabra S.C.P,974,388
610,Valcárcel y Galiano S.A.,608,908
611,Promociones USU S.A.,571,638
612,Desarrollo Globales S.C.P,261,877
613,Finanzas SS S.Coop.,421,98
614,Despacho Abella S.Coop.,20,447
615,Comercializadora Murillo S.L.,951,958
616,Cabo & Asociados S.Com.,424,523
617,Industrias Salom y asociados S.L.,602,626
618,Arjona & Asociados S.A.,375,691
619,Llanos y Carvajal S.C.P,723,67
620,Peral y asociados S.L.L.,933,490
621,Espinosa y Arana S.Com.,820,465
622,Banca Privada URJN S.A.,559,68
623,Farmaceútica Jáuregui S.L.,50,171
624,Farmaceútica Internacionales S.A.,973,227
625,Promociones Sotelo & Asociados S.L.,376,662
626,Villegas y Diez S.L.N.E,228,404
627,Comercial QBHS S.L.,31,507
628,Infraestructuras Huertas S.L.N.E,472,972
629,Restauración Calderon S.L.,496,376
630,Industrias Galván y asociados S.A.,557,588
631,Familia Ortiz S.Coop.,894,31
632,Logística MX S.A.,733,90
633,Compañía Inteligentes S.Com.,677,136
634,Comercial Santos y asociados S.Com.,28,455
635,Talavera y asociados S.L.L.,145,883
636,Hnos Montoya S.A.,87,698
637,Bernat y asociados S.L.,37,636
638,Soluciones Iberia S.L.N.E,302,237
639,Geraldo Padilla Molins S.Coop.,668,849
