nro_voluntario,fecha_inicio,fecha_fin,id_tarea,id_institucion
171,2003-06-20,2006-06-19,HHVSSPRU02,734
172,2016-11-10,2017-11-10,YGMGOUFM45,795
173,2013-10-22,2015-10-22,OXXCRXFX31,146
174,2018-06-01,2020-05-31,IARTAFFX51,426
175,2013-10-06,2016-10-05,BLCQSTLQ47,327
176,2014-10-10,2018-10-09,CYKXKSHI67,455
177,1993-06-16,1997-06-15,LUQPGNON78,445
178,2000-02-24,2001-02-23,REOKBGFC42,630
179,2007-10-11,2011-10-10,WHSVDEON49,29
180,2020-01-14,2023-01-13,SLZAJREK70,495
181,2003-08-01,2004-07-31,OHMKFOXX18,974
182,1997-12-06,2001-12-05,UVWIZKBU76,479
183,2020-02-02,2021-02-01,KTTFAWOY98,248
184,2014-12-17,2016-12-16,CYKXKSHI67,530
185,2016-05-11,2020-05-10,SLZAJREK70,224
186,2002-07-26,2005-07-25,OMLIYZVX38,39
187,2012-11-13,2015-11-13,HEFSBMMM10,849
188,2010-10-26,2012-10-25,NABVVCGM82,418
189,2013-04-23,2015-04-23,KTTFAWOY98,214
190,2004-03-03,2005-03-03,CRBJGTZW91,943
191,2010-08-13,2014-08-12,YPXJAUSM79,710
192,1999-03-24,2002-03-23,GSYUCMYB50,530
193,2018-07-11,2020-07-10,DNUWOIGC87,744
194,2019-12-26,2022-12-25,KTTFAWOY98,244
195,1990-08-03,1993-08-02,DMQCJNTB96,154
196,1991-03-04,1993-03-03,LQSQJXZJ45,3
197,1998-11-22,2002-11-21,KEMPSJTD69,175
198,1997-04-25,1998-04-25,YYCMCTXR62,985
199,2016-06-22,2020-06-21,USPEMRXK50,785
200,2004-02-07,2005-02-06,XVSTQESU48,277
201,2018-01-01,2020-01-01,NJNTMGQH57,383
202,2013-08-08,2015-08-08,VXQKRIOB08,608
203,2008-11-07,2012-11-06,YVGZASAC07,333
204,1990-08-20,1992-08-19,GHTHJDFM59,766
205,2016-05-16,2020-05-15,XVSTQESU48,140
206,2015-07-16,2019-07-15,KTTFAWOY98,312
207,2000-08-03,2002-08-03,BYTBCRZC48,709
208,2017-05-11,2021-05-10,BLCQSTLQ47,840
209,1994-06-25,1997-06-24,OXXCRXFX31,253
210,2015-07-09,2019-07-08,OXXCRXFX31,935
211,1992-11-21,1994-11-21,UGJXFRYZ41,741
212,1993-11-16,1994-11-16,CIWKKMEC00,854
213,1990-09-24,1992-09-23,YPXJAUSM79,523
214,2014-01-17,2015-01-17,KEMPSJTD69,76
215,2017-02-09,2021-02-08,NBXECSTW88,55
216,1995-04-06,1999-04-05,NABVVCGM82,439
217,2001-06-23,2005-06-22,EGAOTNUP26,236
218,2014-07-26,2017-07-25,CXOOXSAG43,303
219,1998-03-26,2000-03-25,HCGYSNUO39,115
220,2008-06-05,2009-06-05,GHTHJDFM59,953
221,2008-09-01,2012-08-31,VHUTDQQD02,7
222,2007-05-04,2008-05-03,EJSBCWZN53,453
223,1991-02-18,1995-02-17,IDOWSZOK02,974
224,2015-12-13,2019-12-12,BLCQSTLQ47,854
225,1997-05-20,2001-05-19,YCPCXAMZ42,440
226,1995-08-07,1997-08-06,HEFSBMMM10,249
227,2011-10-07,2012-10-06,WMKDXHSR24,111
228,2005-09-07,2006-09-07,QJSSUQXQ29,490
229,2017-02-08,2018-02-08,EVUNIPCL31,410
230,2011-11-28,2014-11-27,VNUVKIZK02,68
231,2016-01-09,2019-01-08,CYKXKSHI67,369
232,1996-02-25,2000-02-24,UFOTOVKW05,997
233,2001-11-17,2004-11-16,YGMGOUFM45,85
234,1991-11-15,1994-11-14,GHTHJDFM59,75
235,2000-11-18,2001-11-18,LQSQJXZJ45,113
236,2006-09-12,2007-09-12,OUJAANOC36,692
237,2011-03-06,2012-03-05,JPBVKRYN96,373
238,2016-12-19,2017-12-19,GHTHJDFM59,967
239,1992-02-09,1995-02-08,KYMYXXBG12,888
240,2001-03-27,2005-03-26,IBGWELZC81,837
241,1997-12-21,1999-12-21,ZMOTBKAE77,162
242,2012-12-11,2016-12-10,VNUVKIZK02,104
243,2001-11-16,2003-11-16,JDYQSAHC90,52
244,2007-12-06,2010-12-05,LZJQKBND72,183
245,1997-06-26,1998-06-26,EGAOTNUP26,738
246,2009-06-28,2012-06-27,CZLGBHJH97,319
247,2006-03-04,2010-03-03,ORWFNHSL71,734
248,1994-02-23,1995-02-23,USPEMRXK50,741
249,1994-12-04,1997-12-03,FXBBRXLA68,841
250,2014-09-08,2018-09-07,SDETFZWU63,123
251,1994-02-22,1996-02-22,HCGYSNUO39,68
252,2010-10-16,2013-10-15,CYKXKSHI67,665
253,1999-11-14,2001-11-13,SLZAJREK70,190
254,2011-01-28,2014-01-27,DNUWOIGC87,649
255,2017-09-05,2018-09-05,TLYDOWYM85,457
256,2018-03-17,2019-03-17,LZJQKBND72,878
257,2002-08-13,2003-08-13,LHWIEHSQ56,345
258,1999-02-23,2001-02-22,CCINTUOP48,353
259,1990-11-11,1991-11-11,TEDQTDBZ54,820
260,1993-05-03,1996-05-02,OMLIYZVX38,41
261,2012-12-05,2015-12-05,QTJJSKOG70,626
262,1992-07-01,1996-06-30,HEFSBMMM10,889
263,2012-12-23,2013-12-23,OXXCRXFX31,927
264,2008-07-07,2009-07-07,KOQGXORU43,457
265,1996-12-28,2000-12-27,VHUTDQQD02,754
266,2017-06-16,2020-06-15,FYSMPRFI60,340
267,2009-04-20,2011-04-20,YGMGOUFM45,123
268,2017-11-06,2020-11-05,NABVVCGM82,316
269,2008-10-18,2012-10-17,KEMPSJTD69,842
270,1993-02-19,1995-02-19,VXQKRIOB08,665
271,2009-08-15,2013-08-14,VHUTDQQD02,845
272,2008-11-26,2011-11-26,XVCOQJCI55,662
273,2018-10-11,2022-10-10,LUQPGNON78,545
274,2007-06-15,2010-06-14,YVGZASAC07,359
275,1996-12-13,2000-12-12,WHSVDEON49,413
276,2012-11-08,2014-11-08,CYKXKSHI67,609
277,2009-05-05,2013-05-04,TEDQTDBZ54,541
278,2017-02-22,2019-02-22,EVUNIPCL31,130
279,2014-01-06,2015-01-06,LGEDBCZG06,109
280,2001-07-23,2005-07-22,YVGZASAC07,83
281,1990-01-04,1992-01-04,CZLGBHJH97,798
282,2014-06-13,2017-06-12,YPXJAUSM79,698
283,1993-09-07,1995-09-07,QVPMBVUX64,892
284,2015-12-19,2018-12-18,HCGYSNUO39,501
285,2006-07-18,2010-07-17,LQSQJXZJ45,397
286,1996-09-19,1997-09-19,LQSQJXZJ45,190
287,2000-12-10,2002-12-10,OHMKFOXX18,355
288,2009-04-20,2013-04-19,TLYDOWYM85,184
289,2009-12-03,2011-12-03,CXOOXSAG43,424
290,2007-09-16,2010-09-15,YPXJAUSM79,924
291,2013-11-21,2015-11-21,KEMPSJTD69,116
292,2009-01-05,2010-01-05,YYCMCTXR62,397
293,2005-02-23,2009-02-22,NVIVZOXU73,67
294,2020-05-05,2022-05-05,OUJAANOC36,526
295,1990-02-20,1994-02-19,FYSMPRFI60,861
296,2000-10-08,2002-10-08,XBPSIEVT36,839
297,2011-08-08,2014-08-07,IJZHWLLW65,430
298,2017-12-22,2018-12-22,IJZHWLLW65,313
299,1994-11-03,1996-11-02,LZFXPISP97,381
300,2004-09-22,2006-09-22,KYMYXXBG12,519
301,2016-08-21,2020-08-20,BKPYNNGJ95,850
302,1994-05-23,1997-05-22,CIWKKMEC00,543
303,2002-05-23,2004-05-22,CNBXSFUK32,687
304,1993-02-13,1996-02-13,NVIVZOXU73,510
305,1990-05-01,1991-05-01,GHTHJDFM59,584
306,1996-01-01,1998-12-31,JDYQSAHC90,860
307,2015-01-09,2018-01-08,YPXJAUSM79,101
308,1997-10-11,2000-10-10,YGMGOUFM45,977
309,1992-08-24,1996-08-23,CXOOXSAG43,160
310,2019-06-21,2023-06-20,YYCMCTXR62,995
311,2017-06-08,2019-06-08,VNUVKIZK02,289
312,2012-01-01,2013-12-31,SDETFZWU63,261
313,2014-07-20,2018-07-19,NABVVCGM82,502
314,2018-01-10,2019-01-10,BKPYNNGJ95,163
315,2017-07-14,2019-07-14,QTJJSKOG70,461
316,2014-07-01,2018-06-30,EJSBCWZN53,325
317,1998-10-14,2002-10-13,REOKBGFC42,54
318,1996-09-12,1999-09-12,WMKDXHSR24,770
319,2004-09-04,2008-09-03,APOMKTNF83,966
320,1994-05-11,1997-05-10,ZMOTBKAE77,482
321,2011-03-23,2013-03-22,CIWKKMEC00,882
322,1993-08-19,1997-08-18,KOQGXORU43,197
323,1990-04-19,1991-04-19,JJVQUHRW53,146
324,2006-05-09,2007-05-09,AQCASZAA33,299
325,1990-11-12,1991-11-12,KTTFAWOY98,5
326,1993-10-15,1997-10-14,OXXCRXFX31,961
327,1992-12-17,1993-12-17,HEFSBMMM10,98
328,2007-07-25,2008-07-24,WVPSKOMR97,926
329,1996-01-04,1999-01-03,NVIVZOXU73,855
330,1991-02-04,1993-02-03,REOKBGFC42,348
331,1992-10-06,1995-10-06,JJVQUHRW53,628
332,1994-05-07,1997-05-06,CRBJGTZW91,415
333,1990-02-01,1993-01-31,GSYUCMYB50,426
334,1991-05-25,1995-05-24,DNUWOIGC87,571
335,1990-05-24,1993-05-23,CZLGBHJH97,359
336,1994-01-03,1996-01-03,TOUBFVJK13,825
337,2004-07-17,2007-07-17,YPCFPMJQ10,762
338,1992-10-25,1996-10-24,YGMGOUFM45,444
339,1993-01-19,1995-01-19,JDYQSAHC90,242
340,1996-04-01,1999-04-01,CYKXKSHI67,171
341,1999-03-08,2003-03-07,GVFJGIEU59,570
342,2009-04-10,2011-04-10,HEFSBMMM10,312
343,1997-03-06,2000-03-05,TOUBFVJK13,739
344,2007-09-05,2010-09-04,RFNEQDWT31,418
345,2000-04-23,2002-04-23,XVCOQJCI55,537
346,2010-09-20,2013-09-19,WNPNJEVG54,416
347,2009-11-21,2011-11-21,IDOWSZOK02,71
348,2004-10-03,2005-10-03,BXUIBWWG95,401
349,1996-04-16,1998-04-16,WNPNJEVG54,798
350,2002-05-24,2006-05-23,WNPNJEVG54,435
351,1990-07-12,1992-07-11,HHVSSPRU02,632
352,1994-12-06,1995-12-06,KEMPSJTD69,673
353,2001-12-16,2005-12-15,ROPIKGME60,840
354,1998-09-10,1999-09-10,BMLBGRND02,104
355,2020-10-22,2023-10-22,HEFSBMMM10,885
356,2011-11-24,2014-11-23,BLCQSTLQ47,925
357,2009-07-22,2013-07-21,RFNEQDWT31,433
358,1996-04-21,1997-04-21,FEQHPXWD91,258
359,2007-12-06,2011-12-05,OOGSYIWP08,586
360,2014-08-24,2017-08-23,ROPIKGME60,188
361,2000-11-15,2004-11-14,ROPIKGME60,201
362,2010-09-10,2014-09-09,CRBJGTZW91,356
363,2011-02-15,2015-02-14,DMQCJNTB96,307
364,1996-04-11,2000-04-10,WHSVDEON49,211
365,2001-04-15,2004-04-14,GHTHJDFM59,856
366,2020-05-15,2022-05-15,GAQBUOME10,130
367,2011-08-22,2013-08-21,VXQKRIOB08,361
368,1993-12-16,1995-12-16,AQCASZAA33,259
369,2003-02-23,2004-02-23,FEQHPXWD91,630
370,1997-09-11,1998-09-11,CRBJGTZW91,698
371,2014-07-07,2015-07-07,ROQBIJSP98,641
372,2009-05-07,2013-05-06,BMLBGRND02,428
373,2017-10-18,2020-10-17,LUQPGNON78,939
374,2001-06-28,2003-06-28,GHTHJDFM59,667
375,2002-08-06,2006-08-05,GSYUCMYB50,264
376,2012-09-05,2013-09-05,EJSBCWZN53,373
377,2013-06-23,2014-06-23,REOKBGFC42,994
378,1993-06-20,1996-06-19,VHUTDQQD02,309
379,2008-01-04,2009-01-03,KEMPSJTD69,704
380,2019-11-07,2020-11-06,WHSVDEON49,178
381,2002-05-09,2005-05-08,CRBJGTZW91,362
382,1999-07-15,2002-07-14,XBPSIEVT36,928
383,2006-02-14,2007-02-14,FEQHPXWD91,203
384,1998-07-28,2000-07-27,QECDBKCV20,928
385,2017-10-20,2021-10-19,WHSVDEON49,688
386,2015-09-10,2017-09-09,CRBJGTZW91,598
387,1991-06-27,1994-06-26,JJVQUHRW53,260
388,2006-12-22,2009-12-21,HEFSBMMM10,284
389,2002-03-23,2006-03-22,ROPIKGME60,549
390,1998-11-26,2000-11-25,CZLGBHJH97,394
391,2013-01-13,2014-01-13,WHSVDEON49,195
392,2006-05-22,2008-05-21,NABVVCGM82,184
393,2006-05-18,2010-05-17,IJZHWLLW65,612
394,1996-09-09,2000-09-08,YVGZASAC07,852
395,2014-02-05,2018-02-04,YPXJAUSM79,513
396,2007-02-04,2011-02-03,UVWIZKBU76,6
397,2018-07-24,2021-07-23,ORWFNHSL71,891
398,2008-12-26,2009-12-26,AQCASZAA33,190
399,2019-02-25,2022-02-24,JPBVKRYN96,208
400,2007-08-21,2008-08-20,BMLBGRND02,537
401,2004-12-22,2006-12-22,EVUNIPCL31,966
402,2018-05-19,2021-05-18,YGMGOUFM45,302
403,1993-11-23,1994-11-23,OHMKFOXX18,81
404,2000-10-26,2002-10-26,IARTAFFX51,161
405,2020-02-02,2022-02-01,CXOOXSAG43,687
406,2009-09-24,2010-09-24,OOGSYIWP08,29
407,1990-03-18,1991-03-18,YGMGOUFM45,846
408,1998-09-08,2001-09-07,JPBVKRYN96,852
409,2019-08-06,2023-08-05,RFNEQDWT31,995
410,2004-08-09,2006-08-09,QECDBKCV20,546
411,2006-10-02,2007-10-02,KGWVYNSA31,400
412,1991-10-22,1995-10-21,ZMOTBKAE77,401
413,2010-12-13,2013-12-12,CCINTUOP48,333
414,2003-11-24,2005-11-23,JPBVKRYN96,951
415,2017-10-11,2021-10-10,ROPIKGME60,12
416,2007-12-07,2009-12-06,SDETFZWU63,314
417,2011-06-20,2012-06-19,SBSVRAJX26,540
418,2008-07-26,2009-07-26,ROQBIJSP98,57
419,2013-09-14,2017-09-13,USPEMRXK50,312
420,2009-10-09,2011-10-09,FYSMPRFI60,418
421,2001-07-19,2002-07-19,OMLIYZVX38,453
422,2013-03-14,2014-03-14,ORWFNHSL71,308
423,2010-08-25,2011-08-25,GSBEXPLO57,828
424,1992-11-15,1993-11-15,KTTFAWOY98,219
425,2009-10-22,2013-10-21,VHUTDQQD02,405
426,1990-04-09,1993-04-08,YZREKOQZ47,512
427,1999-01-13,2003-01-12,SDETFZWU63,783
428,2008-09-05,2010-09-05,KOQGXORU43,438
429,1998-01-03,2001-01-02,SBSVRAJX26,109
430,2002-06-24,2005-06-23,WMKDXHSR24,162
431,1997-09-12,2000-09-11,KGWVYNSA31,199
432,1994-10-15,1995-10-15,APOMKTNF83,25
433,2010-05-19,2012-05-18,BKPYNNGJ95,558
434,2018-01-03,2021-01-02,HEFSBMMM10,731
435,1992-11-15,1996-11-14,ROPIKGME60,871
436,1990-02-12,1994-02-11,KEMPSJTD69,563
437,1999-09-09,2003-09-08,BMLBGRND02,884
438,1990-01-07,1991-01-07,EVUNIPCL31,718
439,2017-05-13,2019-05-13,UFOTOVKW05,344
440,2006-01-14,2007-01-14,EVUNIPCL31,125
441,2010-01-23,2012-01-23,GSYUCMYB50,233
442,1996-05-11,1997-05-11,QVPMBVUX64,618
443,2000-02-12,2001-02-11,QECDBKCV20,637
444,1992-10-13,1993-10-13,UFOTOVKW05,768
445,1993-09-24,1996-09-23,QTJJSKOG70,263
446,2001-03-20,2002-03-20,NJNTMGQH57,258
447,2019-11-21,2020-11-20,YGMGOUFM45,628
448,1992-02-19,1996-02-18,YPCFPMJQ10,790
449,2010-10-22,2012-10-21,OXXCRXFX31,929
450,1990-08-12,1993-08-11,VDHJSKYC98,795
451,2013-03-21,2017-03-20,REOKBGFC42,69
452,2019-09-22,2021-09-21,WMKDXHSR24,704
453,2000-07-06,2004-07-05,YGMGOUFM45,289
454,2001-12-23,2002-12-23,BYTBCRZC48,356
455,1992-06-15,1996-06-14,YVGZASAC07,48
456,1992-01-28,1996-01-27,IJZHWLLW65,662
457,2015-04-11,2018-04-10,TEDQTDBZ54,966
458,2017-03-25,2019-03-25,CIWKKMEC00,973
459,2011-06-01,2012-05-31,GAQBUOME10,488
460,2012-01-16,2014-01-15,GHTHJDFM59,274
461,2011-08-22,2013-08-21,EVUNIPCL31,684
462,2005-04-27,2008-04-26,OXXCRXFX31,960
463,2009-02-13,2013-02-12,VNUVKIZK02,183
464,2005-08-19,2008-08-18,BMLBGRND02,581
465,2020-08-02,2021-08-02,TEDQTDBZ54,253
466,2010-03-17,2012-03-16,LHWIEHSQ56,820
467,1992-07-14,1993-07-14,CIWKKMEC00,658
468,2017-09-19,2020-09-18,XVCOQJCI55,404
469,2008-08-09,2009-08-09,JPBVKRYN96,793
470,2009-12-26,2012-12-25,LZFXPISP97,710
471,2019-07-28,2023-07-27,QJSSUQXQ29,788
472,1994-08-25,1996-08-24,OLIRHRDP51,590
473,1990-09-24,1992-09-23,CXOOXSAG43,206
474,2009-08-24,2010-08-24,VNUVKIZK02,383
475,2004-04-05,2005-04-05,YPXJAUSM79,26
476,2008-10-16,2012-10-15,REOKBGFC42,226
477,1997-07-27,2000-07-26,KOQGXORU43,363
478,1992-09-28,1993-09-28,DNUWOIGC87,869
479,1993-10-01,1995-10-01,YCPCXAMZ42,771
480,2014-04-20,2018-04-19,BKPYNNGJ95,191
481,2005-10-13,2006-10-13,WNPNJEVG54,753
482,2011-04-02,2012-04-01,JDYQSAHC90,271
483,1997-12-05,2001-12-04,APOMKTNF83,653
484,2008-06-04,2011-06-04,CXOOXSAG43,745
485,2008-08-12,2010-08-12,SLZAJREK70,486
486,1992-12-26,1996-12-25,LZJQKBND72,840
487,2003-06-28,2006-06-27,ROQBIJSP98,163
488,2000-12-09,2004-12-08,SLZAJREK70,184
489,2020-11-01,2021-11-01,HEFSBMMM10,234
490,1998-03-19,2002-03-18,XBPSIEVT36,572
491,1995-02-03,1999-02-02,BLCQSTLQ47,445
492,1993-01-16,1995-01-16,KGWVYNSA31,129
493,1994-05-12,1996-05-11,OXXCRXFX31,984
494,1993-06-01,1997-05-31,OMLIYZVX38,618
495,2013-01-04,2017-01-03,QJSSUQXQ29,932
496,2016-01-10,2017-01-09,IARTAFFX51,777
497,2014-02-13,2015-02-13,VXQKRIOB08,637
498,1998-01-01,2001-12-31,CIWKKMEC00,127
499,2013-08-11,2015-08-11,CYKXKSHI67,375
